state,county,total_pop,fips,white,black,asian,hispanic,area,lon,lat,votes_gop,votes_dem,total_votes,median_income,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,never,rarely,sometimes,frequently,always,pop_density,per_white,per_black,per_asian,per_hispanic,per_total_votes,education,per_gop,mask
Alabama,Autauga,55869,01001,41215,11098,646,1671,594.436,-86.64119616803883,32.536152921436546,18110.0,5908.0,24661.0,58786.0,37166,956,3248,12119,7554,2998,5903,4388,0.053,0.07400000000000001,0.134,0.295,0.444,93.98656878116398,0.7377078522973384,0.19864325475666292,0.011562762891764665,0.029909252000214787,0.44140757844242784,3.174487434752193,0.754017819968357,3.003
Alabama,Baldwin,223234,01003,185747,19215,2346,10534,1589.784,-87.72395376445844,30.72586230172138,72780.0,18409.0,94090.0,55962.0,146989,3978,10332,40579,32266,13759,30431,15644,0.083,0.059000000000000004,0.098,0.32299999999999995,0.436,140.4178177664387,0.8320730713063422,0.08607559780320202,0.010509151831710223,0.04718815234238512,0.42148597435874463,3.3291130628822563,0.7981225805744114,2.968
Alabama,Barbour,24686,01005,11235,11807,116,1117,884.876,-85.38924517387589,31.867888656342394,5431.0,4848.0,10390.0,34186.0,18173,1490,3411,6486,3287,1279,1417,803,0.067,0.121,0.12,0.201,0.491,27.897694140195917,0.45511626022846957,0.47828728834157014,0.004699019687272138,0.04524831888519809,0.4208863323341165,2.3806196005062454,0.5283587897655414,2.928
Alabama,Bibb,22394,01007,16663,4719,46,623,622.582,-87.12496297519768,32.996456285921184,6733.0,1874.0,8748.0,45340.0,15780,903,1747,7471,2938,908,1197,616,0.02,0.034,0.096,0.278,0.5720000000000001,35.969559029975166,0.7440832365812271,0.2107260873448245,0.002054121639724926,0.027819951772796284,0.3906403500937751,2.4598225602027886,0.7822702451492971,3.3480000000000003
Alabama,Blount,57826,01009,50176,872,163,5582,644.776,-86.56975624844863,33.98524765933215,22808.0,2150.0,25384.0,48695.0,39627,2967,4894,13489,8492,4775,3217,1793,0.053,0.114,0.18,0.19399999999999998,0.45899999999999996,89.68385920071468,0.8677065679798015,0.015079721924393871,0.002818801231280047,0.0965309722270259,0.4389720886798326,2.6065813712872536,0.9138552768651335,2.892
Alabama,Bullock,10101,01011,2121,6978,16,864,622.805,-85.71120899798353,32.09815194538011,1139.0,3530.0,4701.0,32152.0,7104,346,1414,2817,1205,377,526,419,0.031,0.04,0.14400000000000002,0.28600000000000003,0.5,16.218559581249348,0.20997920997921,0.6908226908226909,0.001584001584001584,0.08553608553608553,0.4653994653994654,2.437359234234234,0.2439494538445063,3.186
Alabama,Butler,19448,01013,9937,8680,270,289,776.829,-86.68058318622563,31.752936285017643,4891.0,3716.0,8685.0,39109.0,13888,587,1554,6091,2346,1075,1344,891,0.102,0.053,0.257,0.13699999999999998,0.451,25.03511068716539,0.5109522830111065,0.4463183874948581,0.01388317564788153,0.01486013986013986,0.4465754833401892,2.6742511520737327,0.5682583943301963,2.782
Alabama,Calhoun,113605,01015,81464,23855,987,4614,605.868,-85.81892788371418,33.77618973542812,32803.0,13197.0,47376.0,45197.0,79135,4012,8608,25653,20474,6169,8060,6159,0.152,0.10800000000000001,0.13,0.16699999999999998,0.442,187.5078399915493,0.7170811143875709,0.20998195501958541,0.008687997887416928,0.040614409577043264,0.4170238985960125,2.821330637518165,0.7131086956521739,2.637
Alabama,Chambers,33254,01017,18331,13231,356,871,596.531,-85.38992379742452,32.91159373040564,7803.0,5763.0,13778.0,39872.0,23564,1352,3031,9060,4985,2018,2200,918,0.11699999999999999,0.037000000000000005,0.15,0.136,0.56,55.74563601891604,0.5512419558549347,0.39787694713417937,0.010705479040115476,0.02619233776387803,0.4143260961087388,2.57536920726532,0.575187969924812,2.9850000000000003
Alabama,Cherokee,26196,01019,24014,1069,98,449,553.7,-85.59996079989199,34.17497968295821,8809.0,1524.0,10503.0,41014.0,18673,1393,2299,7157,4001,1416,1273,1134,0.135,0.027000000000000003,0.161,0.158,0.52,47.31081813256276,0.916704840433654,0.04080775690945183,0.0037410291647579784,0.017140021377309512,0.40093907466788825,2.5410485728056553,0.8525113713345592,2.903
