fips,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,county,state
01001,37166,956,3248,12119,7554,2998,5903,4388,Autauga,Alabama
01003,146989,3978,10332,40579,32266,13759,30431,15644,Baldwin,Alabama
01005,18173,1490,3411,6486,3287,1279,1417,803,Barbour,Alabama
01007,15780,903,1747,7471,2938,908,1197,616,Bibb,Alabama
01009,39627,2967,4894,13489,8492,4775,3217,1793,Blount,Alabama
01011,7104,346,1414,2817,1205,377,526,419,Bullock,Alabama
01013,13888,587,1554,6091,2346,1075,1344,891,Butler,Alabama
01015,79135,4012,8608,25653,20474,6169,8060,6159,Calhoun,Alabama
01017,23564,1352,3031,9060,4985,2018,2200,918,Chambers,Alabama
01019,18673,1393,2299,7157,4001,1416,1273,1134,Cherokee,Alabama
01021,29793,1583,3719,13125,5057,2090,2728,1491,Chilton,Alabama
01023,9436,512,1242,3606,1824,1027,770,455,Choctaw,Alabama
01025,16870,905,2270,7372,2891,1314,1342,776,Clarke,Alabama
01027,9285,1030,1245,3366,1807,893,510,434,Clay,Alabama
01029,10445,746,1618,4135,2029,489,927,501,Cleburne,Alabama
01031,34912,1517,3316,9723,8119,4062,5439,2736,Coffee,Alabama
01033,38638,1857,4159,13927,8611,2848,4573,2663,Colbert,Alabama
01035,8848,617,1086,4315,1158,723,632,317,Conecuh,Alabama
01037,8230,468,1207,3178,1880,544,706,247,Coosa,Alabama
01039,26438,1658,2872,9368,5921,2667,2539,1413,Covington,Alabama
01041,9675,807,1284,3753,1674,652,1100,405,Crenshaw,Alabama
01043,57212,3181,7224,20382,12564,5995,5047,2819,Cullman,Alabama
01045,33382,1517,3215,10924,8720,3316,3739,1951,Dale,Alabama
01047,26600,1113,4022,9368,5346,2730,2300,1721,Dallas,Alabama
01049,47876,5762,6632,15956,8916,4525,3557,2528,DeKalb,Alabama
01051,55759,2433,5161,18304,10983,5214,8948,4716,Elmore,Alabama
01053,25965,1230,3562,11546,4496,1844,2079,1208,Escambia,Alabama
01055,71995,3642,7505,23665,18016,6400,7837,4930,Etowah,Alabama
01057,11717,773,1287,4868,2486,787,1070,446,Fayette,Alabama
01059,20812,2445,2390,7666,3900,1732,1624,1055,Franklin,Alabama
01061,18598,1395,2496,6924,3943,1777,1298,765,Geneva,Alabama
01063,5833,548,858,2149,1252,437,371,218,Greene,Alabama
01065,10071,458,1189,4292,1954,757,936,485,Hale,Alabama
01067,12167,784,1628,4081,2558,929,1300,887,Henry,Alabama
01069,71698,2895,7366,22680,16993,6688,9505,5571,Houston,Alabama
01071,37225,2146,4380,15181,6785,3453,3450,1830,Jackson,Alabama
01073,448732,13478,32547,120037,100061,37147,88777,56685,Jefferson,Alabama
01075,9893,705,1036,3950,2062,905,823,412,Lamar,Alabama
01077,63429,2507,5472,22812,13336,4117,9403,5782,Lauderdale,Alabama
01079,23395,1548,3371,9710,4361,1667,1795,943,Lawrence,Alabama
01081,94988,2783,6266,22855,22166,8541,18645,13732,Lee,Alabama
01083,64294,3728,6395,19463,13545,4796,10857,5510,Limestone,Alabama
01085,7056,417,1171,2722,1229,521,656,340,Lowndes,Alabama
01087,12135,564,1651,3658,2899,853,1363,1147,Macon,Alabama
01089,243785,7113,14504,50768,49892,19858,62705,38945,Madison,Alabama
01091,13523,809,1383,5378,2654,1215,1203,881,Marengo,Alabama
01093,21354,1855,2488,7435,4843,1927,1706,1100,Marion,Alabama
01095,63644,4796,7355,19818,14125,5317,7915,4318,Marshall,Alabama
01097,277699,9193,29054,92986,60545,22218,42033,21670,Mobile,Alabama
01099,14756,799,1610,6805,2276,1188,1283,795,Monroe,Alabama
01101,150042,6616,15030,38289,31763,10213,28342,19789,Montgomery,Alabama
01103,82261,5286,8420,24350,19241,7115,12416,5433,Morgan,Alabama
01105,5815,615,660,2293,1069,265,474,439,Perry,Alabama
01107,14565,861,1968,5352,3439,986,1357,602,Pickens,Alabama
01109,19258,920,2740,6405,3575,1082,2846,1690,Pike,Alabama
01111,15738,1420,1920,5719,3091,1238,1436,914,Randolph,Alabama
01113,38950,2078,4417,12583,9614,3820,3876,2562,Russell,Alabama
01115,60698,2874,6381,21865,14038,5549,6805,3186,St. Clair,Alabama
01117,143422,3524,7734,29106,32011,10623,40021,20403,Shelby,Alabama
01119,7858,307,931,2969,1411,525,913,802,Sumter,Alabama
01121,56122,3330,7341,19607,13255,4572,4993,3024,Talladega,Alabama
01123,28582,1534,4047,9402,5782,2573,3426,1818,Tallapoosa,Alabama
01125,127554,4025,10723,38097,27127,8913,23410,15259,Tuscaloosa,Alabama
01127,44974,3232,5374,16685,9921,4558,3224,1980,Walker,Alabama
01129,11469,719,1524,4954,2052,944,771,505,Washington,Alabama
01131,7204,471,1191,2903,1390,348,642,259,Wilcox,Alabama
01133,17184,1279,2476,6420,3451,1232,1432,894,Winston,Alabama
02013,2637,173,185,1061,680,202,235,101,Aleutians East Borough,Alaska
02016,4107,235,224,1664,1038,271,536,139,Aleutians West Census Area,Alaska
02020,191994,4710,7157,45753,49990,16665,42077,25642,Anchorage,Alaska
02050,9677,753,1045,4371,1835,479,746,448,Bethel Census Area,Alaska
02060,645,19,17,225,193,47,116,28,Bristol Bay Borough,Alaska
02068,1601,7,18,418,355,106,461,236,Denali Borough,Alaska
02070,2902,174,196,1138,697,138,296,263,Dillingham Census Area,Alaska
02090,61838,1058,2323,13785,18754,5766,12681,7471,Fairbanks North Star Borough,Alaska
02100,1872,22,35,561,439,114,439,262,Haines Borough,Alaska
02105,1680,41,102,598,423,123,294,99,Hoonah-Angoon Census Area,Alaska
02110,22479,249,629,4584,6586,1552,5735,3144,Juneau City and Borough,Alaska
02122,40277,810,2092,12989,11394,3614,5847,3531,Kenai Peninsula Borough,Alaska
02130,9580,190,511,2865,2870,801,1632,711,Ketchikan Gateway Borough,Alaska
02150,8784,467,422,2747,2210,653,1405,880,Kodiak Island Borough,Alaska
02158,3947,297,583,2117,654,106,132,58,Kusilvak Census Area,Alaska
02164,850,59,64,356,207,30,69,65,Lake and Peninsula Borough,Alaska
02170,66421,1472,3596,21381,19597,6302,9107,4966,Matanuska-Susitna Borough,Alaska
02180,5475,263,609,2347,1261,196,453,346,Nome Census Area,Alaska
02185,6510,213,453,2797,1550,418,741,338,North Slope Borough,Alaska
02188,4186,243,516,1982,749,207,315,174,Northwest Arctic Borough,Alaska
02195,2135,70,149,680,472,175,469,120,Petersburg Borough,Alaska
02198,4472,74,366,1668,1266,311,514,273,Prince of Wales-Hyder Census Area,Alaska
02220,6142,101,270,1741,1453,573,1256,748,Sitka City and Borough,Alaska
02230,809,22,29,189,245,51,222,51,Skagway,Alaska
02240,4455,185,251,1451,1314,403,447,404,Southeast Fairbanks Census Area,Alaska
02261,6465,70,189,2111,1638,476,1226,755,Valdez-Cordova Census Area,Alaska
02275,1875,61,158,705,434,129,263,125,Wrangell City and Borough,Alaska
02282,451,9,28,173,132,19,76,14,Yakutat City and Borough,Alaska
02290,3461,198,298,1394,983,125,263,200,Yukon-Koyukuk Census Area,Alaska
04001,44426,4410,4675,14708,12196,3248,3408,1781,Apache,Arizona
04003,87467,4885,6330,20560,25538,10038,12527,7589,Cochise,Arizona
04005,82119,3407,5108,17604,19355,7391,17349,11905,Coconino,Arizona
04007,38955,1575,4143,11144,11761,3106,4590,2636,Gila,Arizona
04009,23531,1054,2325,7028,7105,2421,2272,1326,Graham,Arizona
04011,5955,232,426,2155,1862,571,550,159,Greenlee,Arizona
04012,15910,1318,2288,5248,4185,899,1324,648,La Paz,Arizona
04013,2811491,165555,188958,634810,685299,237799,571408,327662,Maricopa,Arizona
04015,155888,6618,16339,54288,45943,12596,13083,7021,Mohave,Arizona
04017,69653,4452,7511,20957,20403,5305,6509,4516,Navajo,Arizona
04019,678427,31049,48181,152408,170580,59918,124844,91447,Pima,Arizona
04021,288250,15423,26538,85546,78844,27105,34853,19941,Pinal,Arizona
04023,29228,3404,3723,7957,6308,1698,3993,2145,Santa Cruz,Arizona
04025,171813,4544,12079,44214,50935,16771,25694,17576,Yavapai,Arizona
04027,130819,18357,18095,33924,31847,9281,12716,6599,Yuma,Arizona
05001,12478,760,1361,4774,2770,876,1337,600,Arkansas,Arkansas
05003,13932,936,1529,5563,3188,878,1282,556,Ashley,Arkansas
05005,31646,883,2864,11090,8119,2888,3675,2127,Baxter,Arkansas
05007,168838,9283,10837,49182,34895,9861,36456,18324,Benton,Arkansas
05009,25951,1254,2121,8779,7471,2181,2720,1425,Boone,Arkansas
05011,7494,514,838,3120,1517,363,816,326,Bradley,Arkansas
05013,3750,143,506,1636,699,314,313,139,Calhoun,Arkansas
05015,19646,1277,1511,6788,5044,1011,2546,1469,Carroll,Arkansas
05017,7527,441,1010,2954,1617,395,800,310,Chicot,Arkansas
05019,13175,450,972,4021,2997,1093,2330,1312,Clark,Arkansas
05021,10582,972,1075,4363,2337,607,736,492,Clay,Arkansas
05023,18755,1042,1823,7630,4096,1368,1621,1175,Cleburne,Arkansas
05025,5696,172,477,2689,1069,369,610,310,Cleveland,Arkansas
05027,14720,728,1482,5880,2841,761,1915,1113,Columbia,Arkansas
05029,14592,730,1329,6333,2768,1103,1652,677,Conway,Arkansas
05031,67712,2818,4552,23120,14508,4905,10897,6912,Craighead,Arkansas
05033,41955,2142,4085,15708,10145,3443,4416,2016,Crawford,Arkansas
05035,31090,1867,3594,10890,6989,2143,3801,1806,Crittenden,Arkansas
05037,11477,713,1261,4768,2232,732,963,808,Cross,Arkansas
05039,5268,231,631,2284,1082,319,570,151,Dallas,Arkansas
05041,7920,604,1073,3487,1507,265,640,344,Desha,Arkansas
05043,11728,769,975,4150,2463,951,1519,901,Drew,Arkansas
05045,74787,1819,4664,22846,17081,5905,13973,8499,Faulkner,Arkansas
05047,12074,740,1366,4844,2789,912,1088,335,Franklin,Arkansas
05049,8829,551,813,3282,2500,640,755,288,Fulton,Arkansas
05051,70968,2197,6046,22357,20165,5868,9088,5247,Garland,Arkansas
05053,12494,281,784,5517,2686,939,1454,833,Grant,Arkansas
05055,29705,1103,2664,13130,6512,1562,3328,1406,Greene,Arkansas
05057,14390,1010,1724,5317,2920,1241,1367,811,Hempstead,Arkansas
05059,23974,1033,2462,9489,5633,1831,2354,1172,Hot Spring,Arkansas
05061,8868,630,885,3312,1969,764,996,312,Howard,Arkansas
05063,25151,1315,2262,9016,5790,2014,3048,1706,Independence,Arkansas
05065,10126,647,864,3825,2324,1069,1005,392,Izard,Arkansas
