state_abbr,county,fips,votes_dem,votes_gop,total_votes
AL,Autauga,01001,5908,18110,24661
AL,Baldwin,01003,18409,72780,94090
AL,Barbour,01005,4848,5431,10390
AL,Bibb,01007,1874,6733,8748
AL,Blount,01009,2150,22808,25384
AL,Bullock,01011,3530,1139,4701
AL,Butler,01013,3716,4891,8685
AL,Calhoun,01015,13197,32803,47376
AL,Chambers,01017,5763,7803,13778
AL,Cherokee,01019,1524,8809,10503
AL,Chilton,01021,2909,15068,18255
AL,Choctaw,01023,3109,4102,7268
AL,Clarke,01025,5712,7109,12936
AL,Clay,01027,1234,5230,6572
AL,Cleburne,01029,684,5738,6532
AL,Coffee,01031,4194,15825,20513
AL,Colbert,01033,7296,16718,24626
AL,Conecuh,01035,3069,3413,6543
AL,Coosa,01037,1780,3376,5223
AL,Covington,01039,2379,13222,15818
AL,Crenshaw,01041,1663,4511,6252
AL,Cullman,01043,3730,32734,37278
AL,Dale,01045,4408,13798,18617
AL,Dallas,01047,12826,5784,18730
AL,DeKalb,01049,3682,21779,26086
AL,Elmore,01051,8436,27619,36905
AL,Escambia,01053,4698,10282,15213
AL,Etowah,01055,10350,32132,43474
AL,Fayette,01057,1358,6705,8196
AL,Franklin,01059,2197,9466,11955
AL,Geneva,01061,1522,9967,11659
AL,Greene,01063,4006,838,4862
AL,Hale,01065,4772,3172,8010
AL,Henry,01067,2286,5623,8017
AL,Houston,01069,10547,30567,42030
AL,Jackson,01071,3663,16643,20785
AL,Jefferson,01073,151581,130614,290111
AL,Lamar,01075,1035,5819,6931
AL,Lauderdale,01077,9877,27735,38813
AL,Lawrence,01079,3611,10732,14623
AL,Lee,01081,20987,34321,57668
AL,Limestone,01083,9340,28824,39400
AL,Lowndes,01085,4882,1751,6676
AL,Macon,01087,7237,1394,8748
AL,Madison,01089,62435,89199,159473
AL,Marengo,01091,5607,5224,10948
AL,Marion,01093,1432,11273,12912
AL,Marshall,01095,4913,29217,34965
AL,Mobile,01097,68429,91087,163387
AL,Monroe,01099,4310,5771,10185
AL,Montgomery,01101,58669,33928,94572
AL,Morgan,01103,11216,37392,49991
AL,Perry,01105,3823,1403,5255
AL,Pickens,01107,3972,5454,9494
AL,Pike,01109,5039,7681,13025
AL,Randolph,01111,2290,7697,10130
AL,Russell,01113,9577,9210,19136
AL,St. Clair,01115,5550,31579,37937
AL,Shelby,01117,22927,72846,99208
AL,Sumter,01119,4739,1581,6391
AL,Talladega,01121,12108,20596,33218
AL,Tallapoosa,01123,5271,12967,18504
AL,Tuscaloosa,01125,31746,47701,81708
AL,Walker,01127,4486,24208,29243
AL,Washington,01129,2366,6031,8492
AL,Wilcox,01131,4329,1737,6095
AL,Winston,01133,871,9225,10255
AK,Alaska,02013,121,198,369
AK,Alaska,02016,493,260,846
AK,Alaska,02020,32130,39942,81678
AK,Alaska,02050,2178,809,3933
AK,Alaska,02060,99,180,316
AK,Alaska,02068,242,380,701
AK,Alaska,02070,699,426,1313
AK,Alaska,02090,7567,14123,25076
AK,Alaska,02100,374,370,883
AK,Alaska,02105,421,276,841
AK,Alaska,02110,4273,3161,8583
AK,Alaska,02122,4102,11130,17134
AK,Alaska,02130,1295,2354,4237
AK,Alaska,02150,1250,1926,3646
AK,Alaska,02164,138,113,346
AK,Alaska,02170,4533,18783,26278
AK,Alaska,02180,1392,711,2662
AK,Alaska,02185,869,615,1843
AK,Alaska,02188,920,422,1720
AK,Alaska,02195,334,577,1063
AK,Alaska,02198,666,831,1810
AK,Alaska,02220,1261,1146,2759
AK,Alaska,02230,229,129,447
AK,Alaska,02240,396,1541,2142
AK,Alaska,02261,769,1617,2800
AK,Alaska,02270,993,298,1653
AK,Alaska,02275,177,512,760
AK,Alaska,02282,102,86,217
AK,Alaska,02290,1074,541,1868
AZ,Apache,04001,12196,5315,18659
AZ,Cochise,04003,15291,25036,43147
AZ,Coconino,04005,25308,16573,44929
AZ,Gila,04007,6746,13672,21398
AZ,Graham,04009,3301,8025,11939
AZ,Greenlee,04011,1092,1892,3243
AZ,La Paz,04012,1318,3381,4931
AZ,Maricopa,04013,549040,590465,1201934
AZ,Mohave,04015,16485,54656,74189
AZ,Navajo,04017,15362,18165,35409
AZ,Pima,04019,195649,147019,360762
AZ,Pinal,04021,35737,53857,93805
AZ,Santa Cruz,04023,10684,3650,14926
AZ,Yavapai,04025,29705,58862,92780
AZ,Yuma,04027,18336,20586,40759
AR,Arkansas,05001,1939,3825,6167
AR,Ashley,05003,2408,5338,8027
AR,Baxter,05005,4163,14655,19572
AR,Benton,05007,27894,60751,94262
AR,Boone,05009,2925,12225,15912
AR,Bradley,05011,1317,2163,3617
AR,Calhoun,05013,636,1554,2250
AR,Carroll,05015,3334,6773,10656
AR,Chicot,05017,2350,1716,4149
AR,Clark,05019,3606,4398,8365
AR,Clay,05021,1999,3779,5978
AR,Cleburne,05023,2101,9454,11968
AR,Cleveland,05025,723,2460,3299
AR,Columbia,05027,3140,5456,8837
AR,Conway,05029,2655,4844,7837
AR,Craighead,05031,10474,22798,34968
AR,Crawford,05033,4476,16655,22155
AR,Crittenden,05035,8368,6953,15798
AR,Cross,05037,1995,4577,6831
AR,Dallas,05039,1165,1507,2741
AR,Desha,05041,2227,1915,4226
AR,Drew,05043,2364,3967,6552
AR,Faulkner,05045,14525,29170,46364
AR,Franklin,05047,1376,5034,6698
AR,Fulton,05049,1067,3470,4744
AR,Garland,05051,12283,26053,40337
AR,Grant,05053,1407,5160,6855
AR,Greene,05055,3056,10698,14422
AR,Hempstead,05057,2371,4391,6984
AR,Hot Spring,05059,3137,8153,11815
AR,Howard,05061,1350,3155,4634
AR,Independence,05063,2878,9925,13443
AR,Izard,05065,1111,4042,5396
AR,Jackson,05067,1583,3262,5093
AR,Jefferson,05069,15721,9231,25683
AR,Johnson,05071,2421,6072,8997
AR,Lafayette,05073,1028,1750,2835
AR,Lawrence,05075,1263,4064,5629
AR,Lee,05077,1735,1229,3004
AR,Lincoln,05079,1252,2455,3814
AR,Little River,05081,1397,3604,5192
AR,Logan,05083,1712,5737,7839
AR,Lonoke,05085,5638,19902,26766
AR,Madison,05087,1587,4917,6782
AR,Marion,05089,1377,5077,6718
AR,Miller,05091,4273,11293,16015
AR,Mississippi,05093,5621,6988,12995
AR,Monroe,05095,1298,1400,2766
AR,Montgomery,05097,735,2573,3445
AR,Nevada,05099,1156,2001,3233
AR,Newton,05101,699,2875,3731
AR,Ouachita,05103,4320,5347,9881
AR,Perry,05105,1035,2979,4213
AR,Phillips,05107,4292,2443,6894
AR,Pike,05109,684,3150,3956
AR,Poinsett,05111,1878,3149,5283
AR,Polk,05113,1210,6606,8121
AR,Pope,05115,4818,15694,21545
AR,Prairie,05117,812,2503,3404
AR,Pulaski,05119,89377,61182,157728
AR,Randolph,05121,1425,4508,6313
AR,St. Francis,05123,4031,3195,7412
AR,Saline,05125,13247,35852,51971
AR,Scott,05127,507,2378,3017
AR,Searcy,05129,601,2955,3698
AR,Sebastian,05131,12184,28769,43557
AR,Sevier,05133,1075,3281,4517
AR,Sharp,05135,1472,5405,7190
AR,Stone,05137,1189,4081,5527
AR,Union,05139,5667,10201,16338
AR,Van Buren,05141,1547,5382,7111
AR,Washington,05143,32296,40418,78153
AR,White,05145,5157,21038,27451
AR,Woodruff,05147,1117,1344,2550
AR,Yell,05149,1472,4600,6389
CA,Alameda,06001,486351,91189,613195
CA,Alpine,06003,318,211,575
CA,Amador,06005,5904,10239,17186
CA,Butte,06007,38676,42193,87847
CA,Calaveras,06009,7738,13072,22334
CA,Colusa,06011,2659,3551,6594
CA,Contra Costa,06013,286658,105819,415972
CA,Del Norte,06015,3485,5134,9361
CA,El Dorado,06017,35243,47633,89228
CA,Fresno,06019,123660,113949,250264
CA,Glenn,06021,3065,5788,9379
CA,Humboldt,06023,19596,10883,33636
CA,Imperial,06025,28467,11295,41751
CA,Inyo,06027,3155,4248,7996
CA,Kern,06029,86481,119164,217725
CA,Kings,06031,12902,17446,32250
CA,Lake,06033,6240,5752,13045
CA,Lassen,06035,2224,7574,10422
CA,Los Angeles,06037,1893770,620285,2652072
CA,Madera,06039,13283,19221,34263
CA,Marin,06041,86650,17531,109941
CA,Mariposa,06043,3122,5185,8877
CA,Mendocino,06045,6905,3571,11435
CA,Merced,06047,21856,18486,42523
