fips,median_income,county,state
01001,58786.0,Autauga,Alabama
01003,55962.0,Baldwin,Alabama
01005,34186.0,Barbour,Alabama
01007,45340.0,Bibb,Alabama
01009,48695.0,Blount,Alabama
01011,32152.0,Bullock,Alabama
01013,39109.0,Butler,Alabama
01015,45197.0,Calhoun,Alabama
01017,39872.0,Chambers,Alabama
01019,41014.0,Cherokee,Alabama
01021,45182.0,Chilton,Alabama
01023,34884.0,Choctaw,Alabama
01025,36127.0,Clarke,Alabama
01027,41225.0,Clay,Alabama
01029,40188.0,Cleburne,Alabama
01031,53155.0,Coffee,Alabama
01033,47558.0,Colbert,Alabama
01035,33177.0,Conecuh,Alabama
01037,38301.0,Coosa,Alabama
01039,40601.0,Covington,Alabama
01041,39812.0,Crenshaw,Alabama
01043,42558.0,Cullman,Alabama
01045,45960.0,Dale,Alabama
01047,31602.0,Dallas,Alabama
01049,39233.0,DeKalb,Alabama
01051,59347.0,Elmore,Alabama
01053,35000.0,Escambia,Alabama
01055,44023.0,Etowah,Alabama
01057,37458.0,Fayette,Alabama
01059,40459.0,Franklin,Alabama
01061,38142.0,Geneva,Alabama
01063,21804.0,Greene,Alabama
01065,30571.0,Hale,Alabama
01067,48610.0,Henry,Alabama
01069,45496.0,Houston,Alabama
01071,39816.0,Jackson,Alabama
01073,51979.0,Jefferson,Alabama
01075,36756.0,Lamar,Alabama
01077,46265.0,Lauderdale,Alabama
01079,44515.0,Lawrence,Alabama
01081,48056.0,Lee,Alabama
01083,56460.0,Limestone,Alabama
01085,30833.0,Lowndes,Alabama
01087,32074.0,Macon,Alabama
01089,63417.0,Madison,Alabama
01091,32809.0,Marengo,Alabama
01093,35392.0,Marion,Alabama
01095,42490.0,Marshall,Alabama
01097,46166.0,Mobile,Alabama
01099,30141.0,Monroe,Alabama
01101,47990.0,Montgomery,Alabama
01103,49751.0,Morgan,Alabama
01105,23561.0,Perry,Alabama
01107,37458.0,Pickens,Alabama
01109,34678.0,Pike,Alabama
01111,41449.0,Randolph,Alabama
01113,40978.0,Russell,Alabama
01115,54887.0,St. Clair,Alabama
01117,75761.0,Shelby,Alabama
01119,23132.0,Sumter,Alabama
01121,41012.0,Talladega,Alabama
01123,43361.0,Tallapoosa,Alabama
01125,52221.0,Tuscaloosa,Alabama
01127,41748.0,Walker,Alabama
