state,county,total_pop,fips,white,black,asian,hispanic
Alabama,Autauga,55869,01001,41215,11098,646,1671
Alabama,Baldwin,223234,01003,185747,19215,2346,10534
Alabama,Barbour,24686,01005,11235,11807,116,1117
Alabama,Bibb,22394,01007,16663,4719,46,623
Alabama,Blount,57826,01009,50176,872,163,5582
Alabama,Bullock,10101,01011,2121,6978,16,864
Alabama,Butler,19448,01013,9937,8680,270,289
Alabama,Calhoun,113605,01015,81464,23855,987,4614
Alabama,Chambers,33254,01017,18331,13231,356,871
Alabama,Cherokee,26196,01019,24014,1069,98,449
Alabama,Chilton,44428,01021,35481,4412,195,3636
Alabama,Choctaw,12589,01023,7091,5234,22,128
Alabama,Clarke,23622,01025,12309,10569,99,310
Alabama,Clay,13235,01027,10634,1786,33,435
Alabama,Cleburne,14910,01029,13839,410,31,387
Alabama,Coffee,52342,01031,36338,8930,830,4171
Alabama,Colbert,55241,01033,42935,8839,367,1789
Alabama,Conecuh,12067,01035,6077,5485,27,277
Alabama,Coosa,10663,01037,6945,3253,16,280
Alabama,Covington,37049,01039,30774,4581,175,687
Alabama,Crenshaw,13772,01041,9677,3250,152,333
Alabama,Cullman,83768,01043,76796,1045,585,3752
Alabama,Dale,49172,01045,33425,10058,697,3450
Alabama,Dallas,37196,01047,10032,26158,159,429
Alabama,DeKalb,71513,01049,57103,1057,258,10774
Alabama,Elmore,81209,01051,59351,16978,589,2563
Alabama,Escambia,36633,01053,22094,11353,111,952
Alabama,Etowah,102268,01055,79207,15876,791,4230
Alabama,Fayette,16302,01057,13703,1875,72,335
Alabama,Franklin,31362,01059,23893,1184,81,5606
Alabama,Geneva,26271,01061,21951,2402,78,1095
Alabama,Greene,8111,01063,1423,6443,22,139
Alabama,Hale,14651,01065,5819,8450,44,209
Alabama,Henry,17205,01067,11964,4374,64,463
Alabama,Houston,105882,01069,69963,28685,1095,3631
Alabama,Jackson,51626,01071,45971,1725,246,1584
Alabama,Jefferson,658573,01073,326091,284126,11686,26873
Alabama,Lamar,13805,01075,11874,1399,14,263
Alabama,Lauderdale,92729,01077,78425,9143,702,2652
Alabama,Lawrence,32924,01079,25122,3543,70,779
Alabama,Lee,164542,01081,111364,37261,6782,6091
Alabama,Limestone,98915,01083,75002,13409,1619,6149
Alabama,Lowndes,9726,01085,2442,6980,35,181
Alabama,Macon,18068,01087,2974,14396,102,343
Alabama,Madison,372909,01089,240537,90968,9869,19352
Alabama,Marengo,18863,01091,8380,9678,53,528
Alabama,Marion,29709,01093,27252,1120,88,800
Alabama,Marshall,96774,01095,77249,2490,620,14272
Alabama,Mobile,413210,01097,233547,148488,8494,12443
Alabama,Monroe,20733,01099,11218,8445,93,347
Alabama,Montgomery,226486,01101,74059,133283,7353,8344
Alabama,Morgan,119679,01103,89827,15196,763,10466
Alabama,Perry,8923,01105,2601,6029,56,144
Alabama,Pickens,19930,01107,10682,7885,60,1044
Alabama,Pike,33114,01109,18478,12406,601,802
Alabama,Randolph,22722,01111,17131,4340,95,682
Alabama,Russell,57961,01113,26562,25838,470,3378
Alabama,St. Clair,89512,01115,76431,8534,782,2185
Alabama,Shelby,217702,01117,168091,28607,4852,12635
Alabama,Sumter,12427,01119,3098,8824,238,149
Alabama,Talladega,79978,01121,49800,26183,540,1913
Alabama,Tallapoosa,40367,01123,27733,10756,222,1021
Alabama,Tuscaloosa,209355,01125,127285,67359,3304,8308
Alabama,Walker,63521,01127,56437,3848,322,1681
Alabama,Washington,16326,01129,10606,3777,184,264
Alabama,Wilcox,10373,01131,2786,7314,21,149
Alabama,Winston,23629,01133,22046,214,73,781
