state,cluster,county,total_pop,fips,white,black,asian,hispanic,area,lon,lat,votes_gop,votes_dem,total_votes,median_income,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,never,rarely,sometimes,frequently,always,pop_density,per_white,per_black,per_asian,per_hispanic,per_total_votes,per_votes_gop,per_votes_dem,per_no_hs,per_some_hs,per_hs,per_some_college,per_associates,per_bachelors,per_graduate,edu,mask,per_gop,gop
Alabama,0,Barbour-Bullock-Chambers-Coffee-Dale-Geneva-Henry-Houston-Lee-Macon-Montgomery-Pike-Russell,819084.0,01005-01011-01017-01031-01045-01061-01067-01069-01081-01087-01101-01109-01113,438765.0,309649.0,18560.0,34620.0,8374.218,-85.61538,31.91645,176687.0,138607.0,322854.0,45259.82834971749,534971.0,24257.0,55981.0,156485.0,119827.0,44955.0,80496.0,52970.0,0.07058433,0.08787183,0.12702216,0.21304215,0.5009861,97.81021011873894,0.5356776594341972,0.37804303343735196,0.02265945861474525,0.04226672722211641,0.3941647010563019,0.54726595,0.4293179,0.04534264474149066,0.10464305541795724,0.2925111828491638,0.2239878423316404,0.08403259242089758,0.15046796929179337,0.09901471294705694,3.044187441936105,2.984987,0.5603881,1
Alabama,1,Bibb-Butler-Conecuh-Covington-Crenshaw-Dallas-Escambia-Lowndes-Monroe-Perry-Wilcox,228314.0,01007-01013-01035-01039-01041-01047-01053-01085-01099-01105-01131,124301.0,92994.0,1145.0,4411.0,9162.386,-86.96805,31.849892,59498.0,47569.0,108200.0,35494.89856513398,162025.0,9217.0,20759.0,66635.0,29843.0,12921.0,14246.0,8404.0,0.102646,0.07188934,0.16914703,0.21179491,0.44485003,24.91861906105369,0.5444300393317975,0.40730748004940565,0.005015023169845038,0.019319884019376822,0.47390873971810754,0.5498891,0.43963957,0.05688628298102145,0.12812220336367844,0.4112636938744021,0.1841876253664558,0.07974695263076685,0.0879247029779355,0.051868538805739856,2.573035025459034,2.8249683,0.5557081,1
Alabama,2,Calhoun-Cherokee-Clay-Cleburne-Coosa-DeKalb-Etowah-Jackson-Randolph-St. Clair-Talladega-Tallapoosa,636595.0,01015-01019-01027-01029-01037-01049-01055-01071-01111-01115-01121-01123,490272.0,98844.0,4099.0,28554.0,8030.255,-85.90103,33.751133,199349.0,61333.0,266340.0,44001.040694633164,444004.0,28357.0,53183.0,154884.0,100074.0,37821.0,42980.0,26705.0,0.10041626,0.11006243,0.14808339,0.1824696,0.4589481,79.27456964816044,0.7701474249719209,0.15526983403891015,0.0064389446979633835,0.04485426369984056,0.41838217390962856,0.7484756,0.23028085,0.06386654174286718,0.1197804524283565,0.34883469518292626,0.22538986135260042,0.08518166503004478,0.09680092972135386,0.06014585454185097,2.679225862830064,2.7894304,0.764721,1
Alabama,3,Jefferson-Madison,1031482.0,01073-01089,566628.0,375094.0,21555.0,46225.0,1912.869,-86.74885,34.060806,219813.0,214016.0,449584.0,56114.15033902676,692517.0,20591.0,47051.0,170805.0,149953.0,57005.0,151482.0,95630.0,0.053699855,0.041699857,0.11278444,0.17827696,0.6139004,539.232947993146,0.5493338710709446,0.36364570588725736,0.020897116963747308,0.044814160596113164,0.43586218664019344,0.4889253,0.47603118,0.029733566107402416,0.06794201441986261,0.24664376470180516,0.21653331253961997,0.08231566878502622,0.21874120057702554,0.13809047286925807,3.462340996683114,3.2577014,0.5066812,1
Alabama,4,Colbert-Fayette-Franklin-Lamar-Lauderdale-Lawrence-Marion-Pickens-Tuscaloosa-Walker-Winston,588507.0,01033-01057-01059-01075-01077-01079-01093-01107-01125-01127-01133,439654.0,106409.0,5153.0,24038.0,8166.9473,-87.68158,33.977036,175036.0,67881.0,248756.0,45984.524608883155,393515.0,21087.0,40744.0,136922.0,83537.0,29672.0,50417.0,31136.0,0.0782915,0.06706517,0.15875916,0.21498582,0.48093224,72.05960573261554,0.7470667298774696,0.18081178303741502,0.008756055577928554,0.04084573335576297,0.4226899595077034,0.70364535,0.27288187,0.05358626735956698,0.10353861987471888,0.3479460757531479,0.2122841568936381,0.07540246242201695,0.1281196396579546,0.07912277803895658,2.8532279582735094,2.95327,0.7205589,1
Alabama,5,Baldwin-Mobile,636444.0,01003-01097,419294.0,167703.0,10840.0,22977.0,2819.2192,-87.93508,30.752653,163867.0,86838.0,257477.0,49601.96650137325,424688.0,13171.0,39386.0,133565.0,92811.0,35977.0,72464.0,37314.0,0.07910451,0.06614173,0.10059699,0.2717094,0.48144734,225.75186468577414,0.6588073734688362,0.2635000094273809,0.017032134798976816,0.03610215509927032,0.40455562468968204,0.63643354,0.33726507,0.031013355686998454,0.09274102399879441,0.3145014693139434,0.21853925705459065,0.08471395471499077,0.17062879101834758,0.0878621482123347,3.0965343970161623,3.0082533,0.6536248,1
Alabama,6,Choctaw-Clarke-Greene-Hale-Marengo-Sumter-Washington,106589.0,01023-01025-01063-01065-01091-01119-01129,48726.0,52975.0,662.0,1727.0,6403.994,-87.99367,32.12537,28057.0,30311.0,58907.0,32739.166424302697,75060.0,4258.0,9397.0,30720.0,14038.0,6219.0,6306.0,4122.0,0.037512567,0.082852475,0.12270004,0.22712742,0.52957016,16.644143898232457,0.45713910441039884,0.4970025049489159,0.006210772218521611,0.016202422388801846,0.5526555273058196,0.47629315,0.5145568,0.05672795097255529,0.1251931787903011,0.40927258193445243,0.18702371436184387,0.08285371702637889,0.08401278976818545,0.05491606714628297,2.585784705568878,3.1279154,0.48069146,0
Alabama,7,Blount-Cullman-Limestone-Marshall-Morgan,456962.0,01009-01043-01083-01095-01103,369050.0,33012.0,3750.0,40221.0,3084.732,-86.722244,34.327248,150975.0,31349.0,187018.0,48213.31686879872,307038.0,19958.0,34288.0,97502.0,67967.0,27998.0,39452.0,19873.0,0.088928536,0.059905473,0.14600804,0.27025786,0.43471676,148.13669707358775,0.8076163882335949,0.07224233087215129,0.008206371645782362,0.0880182597240033,0.4092637899869136,0.80727524,0.16762558,0.065001726170702,0.11167347364169908,0.317556784502244,0.2213634794390271,0.09118741002742331,0.1284922387456927,0.06472488747321178,2.8064376396406963,2.9015622,0.82805884,1
Alabama,8,Autauga-Chilton-Elmore-Shelby,399208.0,01001-01021-01051-01117,304138.0,61095.0,6282.0,20505.0,2690.705,-86.55337,32.843792,133643.0,40180.0,179029.0,66643.18519418448,266140.0,8496.0,19862.0,72654.0,55605.0,20925.0,57600.0,30998.0,0.034635976,0.078372106,0.1153926,0.24501897,0.52678376,148.3655727435522,0.7618534698703433,0.15304052023005552,0.015736157592032222,0.05136420111821406,0.44846045169435483,0.746488,0.22443292,0.03192304801983918,0.07462989404073045,0.27299165852558804,0.20893138949425114,0.07862403246411663,0.21642744420229953,0.11647253325317503,3.342875929961674,3.1513493,0.7688453,1
Alaska,0,Aleutians East Borough-Bethel Census Area-Bristol Bay Borough-Denali Borough-Dillingham Census Area-Fairbanks North Star Borough-Haines Borough-Hoonah-Angoon Census Area-Juneau City and Borough-Kenai Peninsula Borough-Ketchikan Gateway Borough-Kodiak Island Borough-Kusilvak Census Area-Lake and Peninsula Borough-Matanuska-Susitna Borough-Nome Census Area-North Slope Borough-Northwest Arctic Borough-Petersburg Borough-Prince of Wales-Hyder Census Area-Sitka City and Borough-Skagway-Southeast Fairbanks Census Area-Valdez-Cordova Census Area-Wrangell City and Borough-Yakutat City and Borough-Yukon-Koyukuk Census Area,437911.0,02013-02050-02060-02068-02070-02090-02100-02105-02110-02122-02130-02150-02158-02164-02170-02180-02185-02188-02195-02198-02220-02230-02240-02261-02275-02282-02290,274282.0,8464.0,16326.0,25433.0,564546.0,-152.26385,63.872124,62957.5,35481.5,113747.5,72057.14160868304,281626.0,7300.0,15134.0,86434.0,78391.0,23116.0,45440.0,25811.0,0.059263762,0.06491907,0.09582236,0.2705103,0.5092227,0.7756870122186678,0.6263418822546134,0.019328128318311256,0.037281548077120696,0.058078011285398176,0.25975026889025393,0.5534847,0.31193212,0.025920902189428534,0.05373793612805636,0.30691058353987205,0.27835143062075235,0.08208048972751096,0.16134873910789488,0.09164991868648491,3.187578561638485,3.1049852,0.6395585,1
