state,cluster,county,total_pop,fips,white,black,asian,hispanic,area_land,lon,lat,votes_gop,votes_dem,total_votes,median_income,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,never,rarely,sometimes,frequently,always,pop_density,per_white,per_black,per_asian,per_hispanic,per_total_votes,per_votes_gop,per_votes_dem,education,mask,per_gop
Alabama,0,Autauga-Bibb-Chambers-Cherokee-Chilton-Clay-Cleburne-Colbert-Coosa-Cullman-Elmore-Fayette-Franklin-Lamar-Lauderdale-Lawrence-Lee-Marion-Pickens-Randolph-Talladega-Tallapoosa-Tuscaloosa-Walker-Winston,1282042,01001-01007-01017-01019-01021-01027-01029-01033-01037-01043-01051-01057-01059-01075-01077-01079-01081-01093-01107-01111-01121-01123-01125-01127-01133,948951,242950,15387,48412,44122.915576,-86.85333076453107,33.55132313323298,381837.0,142379.0,536731.0,46477.96256596898,854852,44199,90817,292802,181629,69161,108356,67888,0.08012769238449287,0.07486971409673006,0.15573473801950327,0.2123760649027099,0.47698393188366683,29.05614878943647,0.7401871389548861,0.18950237199717326,0.012001946894095514,0.03776163339422577,0.418653211049248,0.7114122344340088,0.2652706849427367,2.862553985953124,2.9314031123785336,0.728396309918049
Alabama,1,Barbour-Bullock-Butler-Choctaw-Clarke-Conecuh-Crenshaw-Dallas-Escambia-Greene-Hale-Lowndes-Macon-Marengo-Monroe-Perry-Pike-Russell-Sumter-Washington-Wilcox,419390,01005-01011-01013-01023-01025-01035-01041-01047-01053-01063-01065-01085-01087-01091-01099-01105-01109-01113-01119-01129-01131,186960,208094,2891,11332,44918.741938,-87.09675141521782,31.989500508137308,92455.0,103858.0,198541.0,34206.09933951692,290487,16312,39170,112465,55602,22976,26844,17118,0.06713485776961778,0.07618076015164882,0.15016482510312595,0.22228419847874295,0.48402872028422217,9.336637267777258,0.44579031450439927,0.4961825508476597,0.006893345096449606,0.027020195998950856,0.473404229953027,0.4656720778076065,0.5231060586982034,2.6153941484472627,2.9794778869310186,0.4709570940284138
Alabama,2,Montgomery,226486,01101,74059,133283,7353,8344,2033.918497,-86.20969374546024,32.22068338613538,33928.0,58669.0,94572.0,47990.0,150042,6616,15030,38289,31763,10213,28342,19789,0.056,0.09500000000000001,0.123,0.212,0.513,111.35451117341405,0.32699151382425407,0.5884822902960889,0.032465582861633834,0.03684112925302226,0.4175622334272317,0.3587531193164996,0.6203633210675464,3.2537089614907826,3.029,0.3664049591239457
Alabama,3,Blount-Calhoun-DeKalb-Etowah-Jackson-Limestone-Marshall-Morgan-St. Clair-Shelby,1019420,01009-01015-01049-01055-01071-01083-01095-01103-01115-01117,800521,111621,11081,72491,17516.698065999997,-86.30541498041372,34.1846809762212,326023.0,86988.0,424606.0,53335.21141335269,690177,38737,68304,208546,155643,58722,104135,56090,0.07337089717682603,0.08311703910066508,0.12818274607129546,0.22814466461321142,0.48707321221871264,58.19704125509245,0.7852710364717193,0.10949461458476388,0.010869906417374585,0.0711100429656079,0.4165172352906555,0.7678247598950556,0.2048675713484972,2.962179267057581,2.9722093739577407,0.789380912372794
Alabama,4,Baldwin-Mobile,636444,01003-01097,419294,167703,10840,22977,7301.599706999999,-87.93451799723752,30.753618365441024,163867.0,86838.0,257477.0,49601.96650137325,424688,13171,39386,133565,92811,35977,72464,37314,0.07910451194449158,0.06614172810176544,0.10059699203700562,0.2717094072691391,0.4814473606475982,87.16500842820032,0.6588073734688362,0.2635000094273809,0.017032134798976816,0.03610215509927032,0.40455562468968204,0.6364335455205707,0.337265076103885,3.0965343970161623,3.008253376573587,0.6536247781256855
Alabama,5,Jefferson,658573,01073,326091,284126,11686,26873,2878.465205,-86.896429313041,33.55537844384208,130614.0,151581.0,290111.0,51979.0,448732,13478,32547,120037,100061,37147,88777,56685,0.049,0.037000000000000005,0.107,0.179,0.628,228.79310781872036,0.4951478423804195,0.43142673629195244,0.017744426206358292,0.04080489178876146,0.4405145671019006,0.45022077756444945,0.5224931147043718,3.354757405310965,3.3,0.46285015680646363
Alabama,6,Madison,372909,01089,240537,90968,9869,19352,2076.091216,-86.55081126278967,34.76336322388818,89199.0,62435.0,159473.0,63417.0,243785,7113,14504,50768,49892,19858,62705,38945,0.062,0.05,0.123,0.177,0.589,179.62072047994255,0.6450286799192296,0.24394155142407398,0.02646490162479318,0.0518946981703311,0.42764588679811966,0.5593360631580268,0.3915082803985628,3.660368767561581,3.183,0.5882519751506918
Alabama,7,Coffee-Covington-Dale-Geneva-Henry-Houston,287921,01031-01039-01045-01061-01067-01069,204415,59030,2939,13497,10325.618378,-85.8275190265567,31.300382450192398,89002.0,25336.0,116654.0,45852.79150530875,197195,9766,20893,63700,46254,19439,23820,13323,0.10888476005570973,0.1084700699150114,0.12176535924784923,0.22563961989573533,0.4350958318427624,27.884141119669028,0.7099690540113434,0.20502151631871243,0.010207661129268098,0.04687744207612505,0.4051597486810618,0.7629571210588578,0.21718929483772523,2.8593473465351558,2.7693029754689658,0.7784113767951162
Alaska,0,Aleutians East Borough-Aleutians West Census Area-Bethel Census Area-Bristol Bay Borough-Denali Borough-Dillingham Census Area-Fairbanks North Star Borough-Haines Borough-Hoonah-Angoon Census Area-Juneau City and Borough-Kenai Peninsula Borough-Ketchikan Gateway Borough-Kodiak Island Borough-Kusilvak Census Area-Lake and Peninsula Borough-Matanuska-Susitna Borough-Nome Census Area-North Slope Borough-Northwest Arctic Borough-Petersburg Borough-Prince of Wales-Hyder Census Area-Sitka City and Borough-Skagway-Southeast Fairbanks Census Area-Valdez-Cordova Census Area-Wrangell City and Borough-Yakutat City and Borough-Yukon-Koyukuk Census Area,443545,02013-02016-02050-02060-02068-02070-02090-02100-02105-02110-02122-02130-02150-02158-02164-02170-02180-02185-02188-02195-02198-02220-02230-02240-02261-02275-02282-02290,275614,8831,18500,26220,1474420.133122,-151.96453539027604,63.778489310620984,63217.5,35974.5,114593.5,72228.11150390602,285733,7535,15358,88098,79429,23387,45976,25950,0.059501752922476864,0.0644882210373243,0.09498626520420703,0.2713548568916344,0.5094103732428501,0.3008267386181298,0.6213890360617299,0.019910042949418887,0.04170940941730828,0.05911463323901746,0.2583582274628279,0.5516674156911169,0.3139314184486904,3.1811831325048208,3.106166815092042,0.6373245826276313
Alaska,1,Anchorage,288000,02020,164464,15359,28106,26992,4419.562836,-149.1426986370077,61.14998173762829,39942.0,32130.0,81678.0,83280.0,191994,4710,7157,45753,49990,16665,42077,25642,0.042,0.05,0.049,0.196,0.6629999999999999,65.16481622437102,0.5710555555555555,0.05332986111111111,0.09759027777777778,0.09372222222222222,0.28360416666666666,0.4890178505840006,0.39337398075369134,3.5393293540423136,3.388,0.5541958041958042
Arizona,0,Pima-Pinal,1510068,04019-04021,795825,57439,39496,537722,37692.255063000004,-111.62527401413955,32.39510068472602,200876.0,231386.0,454567.0,52420.09450766456,966677,46472,74719,237954,249424,87023,159697,111388,0.026064689802048648,0.033500538386350816,0.0800487865447119,0.12927466246553138,0.7308048538211526,40.0630845110229,0.5270126908192214,0.038037359906971074,0.02615511354455561,0.35609124887091176,0.3010241922880294,0.4419062536435773,0.5090250722115772,3.221142118825626,3.504641514156979,0.4647089033965512
Arizona,1,Mohave-Yavapai,447280,04015-04025,351312,4065,5001,70560,55515.30033,-113.30151112727783,35.28578885645067,113518.0,46190.0,166969.0,46900.13183240923,327701,11162,28418,98502,96878,29367,38777,24597,0.040487614022536214,0.08391075612591666,0.09191075612591665,0.1703074315864783,0.6133834421391522,8.056877965916248,0.7854408871400465,0.009088266857449472,0.011180915757467358,0.1577535324628868,0.3732986049007333,0.6798747072809923,0.2766381783444831,2.975245727049963,3.2321883316937936,0.7107846820447317
