state,county,state_fips,fips,total_pop,white,black,asian,hispanic,area_land,lon,lat,neighbors,votes_gop,votes_dem,total_votes,median_income,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,never,rarely,sometimes,frequently,always,pop_density,per_white,per_black,per_asian,per_hispanic,per_total_votes,education,per_gop,mask,cluster
Alabama,Autauga,01,01001,55869,41215,11098,646,1671,1539.6021230000001,-86.64364765621485,32.538666322697324,"['01021', '01047', '01051', '01085', '01101']",18110.0,5908.0,24661.0,58786,37166,956,3248,12119,7554,2998,5903,4388,0.053,0.07400000000000001,0.134,0.295,0.444,36.28794684378335,0.7377078522973384,0.19864325475666286,0.011562762891764665,0.029909252000214787,0.44140757844242784,3.174487434752193,0.754017819968357,3.003,0
Alabama,Baldwin,01,01003,223234,185747,19215,2346,10534,4117.546676,-87.72260255155382,30.729584045422982,"['01025', '01053', '01097', '01099', '01129']",72780.0,18409.0,94090.0,55962,146989,3978,10332,40579,32266,13759,30431,15644,0.083,0.059,0.098,0.32299999999999995,0.436,54.215293126163466,0.8320730713063422,0.08607559780320202,0.010509151831710223,0.04718815234238512,0.42148597435874463,3.3291130628822563,0.7981225805744114,2.968,4
Alabama,Barbour,01,01005,24686,11235,11807,116,1117,2292.144655,-85.38757871099796,31.86823485516292,"['01011', '01045', '01067', '01109', '01113']",5431.0,4848.0,10390.0,34186,18173,1490,3411,6486,3287,1279,1417,803,0.067,0.121,0.12,0.201,0.491,10.769826392130561,0.4551162602284696,0.4782872883415701,0.004699019687272138,0.045248318885198084,0.4208863323341165,2.380619600506245,0.5283587897655414,2.928,1
Alabama,Bibb,01,01007,22394,16663,4719,46,623,1612.167481,-87.12511460209394,32.996420635205666,"['01021', '01065', '01073', '01105', '01117', '01125']",6733.0,1874.0,8748.0,45340,15780,903,1747,7471,2938,908,1197,616,0.02,0.034,0.096,0.278,0.5720000000000001,13.890616368287857,0.7440832365812271,0.2107260873448245,0.002054121639724926,0.027819951772796284,0.3906403500937751,2.459822560202789,0.7822702451492971,3.3480000000000003,0
Alabama,Blount,01,01009,57826,50176,872,163,5582,1670.103911,-86.56849543192284,33.98143002881498,"['01043', '01055', '01073', '01095', '01115', '01127']",22808.0,2150.0,25384.0,48695,39627,2967,4894,13489,8492,4775,3217,1793,0.053,0.114,0.18,0.194,0.459,34.624192913467176,0.8677065679798015,0.015079721924393871,0.002818801231280047,0.0965309722270259,0.4389720886798326,2.6065813712872536,0.9138552768651336,2.892,3
Alabama,Bullock,01,01011,10101,2121,6978,16,864,1613.05916,-85.71265534703512,32.1003053330881,"['01005', '01087', '01101', '01109', '01113']",1139.0,3530.0,4701.0,32152,7104,346,1414,2817,1205,377,526,419,0.031,0.04,0.14400000000000002,0.28600000000000003,0.5,6.262014593438718,0.20997920997920996,0.6908226908226909,0.0015840015840015839,0.08553608553608552,0.4653994653994654,2.4373592342342336,0.2439494538445063,3.1860000000000004,1
Alabama,Butler,01,01013,19448,9937,8680,270,289,2012.00253,-86.68059199641134,31.752976362922357,"['01035', '01039', '01041', '01085', '01099', '01131']",4891.0,3716.0,8685.0,39109,13888,587,1554,6091,2346,1075,1344,891,0.102,0.053,0.257,0.13699999999999998,0.451,9.6659918215908,0.5109522830111065,0.4463183874948581,0.013883175647881529,0.01486013986013986,0.4465754833401892,2.6742511520737327,0.5682583943301963,2.782,1
Alabama,Calhoun,01,01015,113605,81464,23855,987,4614,1569.189622,-85.82433396916447,33.77380880082611,"['01019', '01029', '01055', '01115', '01121']",32803.0,13197.0,47376.0,45197,79135,4012,8608,25653,20474,6169,8060,6159,0.152,0.108,0.13,0.16699999999999998,0.442,72.39724148519764,0.7170811143875709,0.2099819550195854,0.008687997887416928,0.040614409577043264,0.4170238985960125,2.821330637518165,0.7131086956521739,2.637,3
Alabama,Chambers,01,01017,33254,18331,13231,356,871,1545.085607,-85.3907275865993,32.91360030579512,"['01081', '01111', '01123']",7803.0,5763.0,13778.0,39872,23564,1352,3031,9060,4985,2018,2200,918,0.117,0.037000000000000005,0.15,0.136,0.56,21.52243205770798,0.5512419558549347,0.39787694713417937,0.010705479040115477,0.02619233776387803,0.4143260961087388,2.57536920726532,0.575187969924812,2.9850000000000003,0
Alabama,Cherokee,01,01019,26196,24014,1069,98,449,1433.623321,-85.60638961008348,34.17805974317829,"['01015', '01029', '01049', '01055']",8809.0,1524.0,10503.0,41014,18673,1393,2299,7157,4001,1416,1273,1134,0.135,0.027000000000000003,0.161,0.158,0.52,18.272582216176158,0.9167048404336541,0.040807756909451834,0.0037410291647579775,0.017140021377309512,0.40093907466788825,2.5410485728056558,0.8525113713345592,2.903,0
Alabama,Chilton,01,01021,44428,35481,4412,195,3636,1794.477075,-86.71732559558237,32.85044125622739,"['01001', '01007', '01037', '01047', '01051', '01105', '01117']",15068.0,2909.0,18255.0,45182,29793,1583,3719,13125,5057,2090,2728,1491,0.06,0.07,0.058,0.194,0.618,24.758187562802938,0.7986179886558027,0.09930674349509318,0.004389123975871072,0.08184028090393446,0.4108895291257765,2.553821367435304,0.8381821215998221,3.24,0
Alabama,Choctaw,01,01023,12589,7091,5234,22,128,2365.869835,-88.26564430465946,32.022273408081176,"['01025', '01091', '01119', '01129']",4102.0,3109.0,7268.0,34884,9436,512,1242,3606,1824,1027,770,455,0.049,0.038,0.126,0.219,0.568,5.321087328542738,0.5632695210104061,0.41575979029311305,0.0017475573913734214,0.010167606640718087,0.5773294145682739,2.6085205595591354,0.5688531410345306,3.2189999999999994,1
Alabama,Clarke,01,01025,23622,12309,10569,99,310,3207.494111,-87.83544327458372,31.682919644542174,"['01003', '01023', '01091', '01099', '01129', '01131']",7109.0,5712.0,12936.0,36127,16870,905,2270,7372,2891,1314,1342,776,0.049,0.08800000000000001,0.16399999999999998,0.268,0.43,7.36462770702808,0.5210820421640844,0.4474218948437897,0.004191008382016764,0.013123359580052492,0.5476250952501905,2.5079430942501477,0.5544809297246704,2.94,1
Alabama,Clay,01,01027,13235,10634,1786,33,435,1564.251835,-85.85836077081238,33.26984192757357,"['01029', '01037', '01111', '01121', '01123']",5230.0,1234.0,6572.0,41225,9285,1030,1245,3366,1807,893,510,434,0.14800000000000002,0.158,0.195,0.16899999999999998,0.329,8.460913840001984,0.8034756327918399,0.1349452210049112,0.002493388741972044,0.03286739705326785,0.4965621458254628,2.3827679052234787,0.8090965346534653,2.371,0
Alabama,Cleburne,01,01029,14910,13839,410,31,387,1450.6639400000001,-85.52005903203771,33.67679191751042,"['01015', '01019', '01027', '01111', '01121']",5738.0,684.0,6532.0,40188,10445,746,1618,4135,2029,489,927,501,0.151,0.125,0.138,0.217,0.368,10.278052406817254,0.928169014084507,0.027498323272971158,0.002079141515761234,0.02595573440643863,0.4380952380952381,2.4482527525131643,0.8934911242603549,2.524,0
