fips,median_income,county,state
01001,58786,Autauga,Alabama
01003,55962,Baldwin,Alabama
01005,34186,Barbour,Alabama
01007,45340,Bibb,Alabama
01009,48695,Blount,Alabama
01011,32152,Bullock,Alabama
01013,39109,Butler,Alabama
01015,45197,Calhoun,Alabama
01017,39872,Chambers,Alabama
01019,41014,Cherokee,Alabama
01021,45182,Chilton,Alabama
01023,34884,Choctaw,Alabama
01025,36127,Clarke,Alabama
01027,41225,Clay,Alabama
01029,40188,Cleburne,Alabama
01031,53155,Coffee,Alabama
01033,47558,Colbert,Alabama
01035,33177,Conecuh,Alabama
01037,38301,Coosa,Alabama
01039,40601,Covington,Alabama
01041,39812,Crenshaw,Alabama
01043,42558,Cullman,Alabama
01045,45960,Dale,Alabama
01047,31602,Dallas,Alabama
01049,39233,DeKalb,Alabama
01051,59347,Elmore,Alabama
01053,35000,Escambia,Alabama
01055,44023,Etowah,Alabama
01057,37458,Fayette,Alabama
01059,40459,Franklin,Alabama
01061,38142,Geneva,Alabama
01063,21804,Greene,Alabama
01065,30571,Hale,Alabama
01067,48610,Henry,Alabama
01069,45496,Houston,Alabama
01071,39816,Jackson,Alabama
01073,51979,Jefferson,Alabama
01075,36756,Lamar,Alabama
01077,46265,Lauderdale,Alabama
01079,44515,Lawrence,Alabama
01081,48056,Lee,Alabama
01083,56460,Limestone,Alabama
01085,30833,Lowndes,Alabama
01087,32074,Macon,Alabama
01089,63417,Madison,Alabama
01091,32809,Marengo,Alabama
01093,35392,Marion,Alabama
01095,42490,Marshall,Alabama
01097,46166,Mobile,Alabama
01099,30141,Monroe,Alabama
01101,47990,Montgomery,Alabama
01103,49751,Morgan,Alabama
01105,23561,Perry,Alabama
01107,37458,Pickens,Alabama
01109,34678,Pike,Alabama
01111,41449,Randolph,Alabama
01113,40978,Russell,Alabama
01115,54887,St. Clair,Alabama
01117,75761,Shelby,Alabama
01119,23132,Sumter,Alabama
01121,41012,Talladega,Alabama
01123,43361,Tallapoosa,Alabama
01125,52221,Tuscaloosa,Alabama
01127,41748,Walker,Alabama
01129,40794,Washington,Alabama
01131,27237,Wilcox,Alabama
01133,38504,Winston,Alabama
02013,69706,Aleutians East Borough,Alaska
02016,85517,Aleutians West Census Area,Alaska
02020,83280,Anchorage,Alaska
02050,54212,Bethel Census Area,Alaska
02060,84688,Bristol Bay Borough,Alaska
02068,84196,Denali Borough,Alaska
02070,58750,Dillingham Census Area,Alaska
02090,77095,Fairbanks North Star Borough,Alaska
02100,64342,Haines Borough,Alaska
02105,63603,Hoonah-Angoon Census Area,Alaska
02110,88213,Juneau City and Borough,Alaska
02122,66684,Kenai Peninsula Borough,Alaska
02130,70356,Ketchikan Gateway Borough,Alaska
02150,78281,Kodiak Island Borough,Alaska
02158,35539,Kusilvak Census Area,Alaska
02164,46406,Lake and Peninsula Borough,Alaska
02170,75905,Matanuska-Susitna Borough,Alaska
02180,58987,Nome Census Area,Alaska
02185,75431,North Slope Borough,Alaska
02188,62949,Northwest Arctic Borough,Alaska
02195,66907,Petersburg Borough,Alaska
02198,54191,Prince of Wales-Hyder Census Area,Alaska
02220,71534,Sitka City and Borough,Alaska
02230,72237,Skagway,Alaska
02240,71541,Southeast Fairbanks Census Area,Alaska
02261,82306,Valdez-Cordova Census Area,Alaska
02275,57583,Wrangell City and Borough,Alaska
02282,65833,Yakutat City and Borough,Alaska
02290,40000,Yukon-Koyukuk Census Area,Alaska
04001,32963,Apache,Arizona
04003,48649,Cochise,Arizona
04005,57616,Coconino,Arizona
04007,42092,Gila,Arizona
04009,51352,Graham,Arizona
04011,60962,Greenlee,Arizona
04012,33333,La Paz,Arizona
04013,61606,Maricopa,Arizona
04015,43266,Mohave,Arizona
04017,40054,Navajo,Arizona
04019,51037,Pima,Arizona
04021,55550,Pinal,Arizona
04023,40467,Santa Cruz,Arizona
04025,50180,Yavapai,Arizona
04027,44058,Yuma,Arizona
05001,39466,Arkansas,Arkansas
05003,39635,Ashley,Arkansas
05005,41481,Baxter,Arkansas
05007,64141,Benton,Arkansas
05009,43262,Boone,Arkansas
05011,39510,Bradley,Arkansas
05013,44022,Calhoun,Arkansas
05015,43505,Carroll,Arkansas
05017,33051,Chicot,Arkansas
05019,39752,Clark,Arkansas
05021,33935,Clay,Arkansas
05023,43391,Cleburne,Arkansas
05025,42460,Cleveland,Arkansas
05027,36148,Columbia,Arkansas
05029,41196,Conway,Arkansas
05031,45868,Craighead,Arkansas
05033,46619,Crawford,Arkansas
05035,39002,Crittenden,Arkansas
05037,43838,Cross,Arkansas
05039,36628,Dallas,Arkansas
05041,30234,Desha,Arkansas
05043,43014,Drew,Arkansas
05045,51930,Faulkner,Arkansas
05047,39463,Franklin,Arkansas
05049,36184,Fulton,Arkansas
05051,43146,Garland,Arkansas
05053,51920,Grant,Arkansas
05055,47497,Greene,Arkansas
05057,41355,Hempstead,Arkansas
05059,41262,Hot Spring,Arkansas
05061,35900,Howard,Arkansas
05063,43523,Independence,Arkansas
05065,40218,Izard,Arkansas
05067,33174,Jackson,Arkansas
05069,38289,Jefferson,Arkansas
05071,37170,Johnson,Arkansas
05073,32412,Lafayette,Arkansas
05075,38528,Lawrence,Arkansas
05077,28367,Lee,Arkansas
05079,45166,Lincoln,Arkansas
05081,45388,Little River,Arkansas
05083,39748,Logan,Arkansas
05085,57509,Lonoke,Arkansas
05087,43891,Madison,Arkansas
05089,35518,Marion,Arkansas
05091,41903,Miller,Arkansas
05093,37237,Mississippi,Arkansas
05095,35190,Monroe,Arkansas
05097,37855,Montgomery,Arkansas
05099,37635,Nevada,Arkansas
05101,39896,Newton,Arkansas
05103,34887,Ouachita,Arkansas
05105,46071,Perry,Arkansas
05107,29263,Phillips,Arkansas
05109,37406,Pike,Arkansas
05111,39277,Poinsett,Arkansas
05113,37035,Polk,Arkansas
05115,41914,Pope,Arkansas
05117,41846,Prairie,Arkansas
05119,50093,Pulaski,Arkansas
05121,36870,Randolph,Arkansas
05123,35356,St. Francis,Arkansas
05125,62152,Saline,Arkansas
05127,35509,Scott,Arkansas
05129,36390,Searcy,Arkansas
05131,43240,Sebastian,Arkansas
05133,46667,Sevier,Arkansas
05135,33708,Sharp,Arkansas
05137,36162,Stone,Arkansas
05139,44000,Union,Arkansas
05141,36897,Van Buren,Arkansas
05143,49629,Washington,Arkansas
05145,43822,White,Arkansas
05147,31023,Woodruff,Arkansas
05149,42361,Yell,Arkansas
06001,92574,Alameda,California
06003,64688,Alpine,California
06005,61198,Amador,California
06007,48443,Butte,California
06009,58151,Calaveras,California
06011,56704,Colusa,California
06013,93712,Contra Costa,California
06015,45258,Del Norte,California
06017,80582,El Dorado,California
06019,51261,Fresno,California
06021,47395,Glenn,California
06023,45528,Humboldt,California
06025,45834,Imperial,California
06027,52874,Inyo,California
06029,52479,Kern,California
06031,53865,Kings,California
06033,42475,Lake,California
06035,56362,Lassen,California
06037,64251,Los Angeles,California
06039,52884,Madera,California
06041,110217,Marin,California
06043,51199,Mariposa,California
06045,49233,Mendocino,California
06047,50129,Merced,California
06049,45149,Modoc,California
06051,63018,Mono,California
06053,66676,Monterey,California
06055,84753,Napa,California
06057,63240,Nevada,California
06059,85398,Orange,California
06061,84357,Placer,California
06063,53270,Plumas,California
06065,63948,Riverside,California
06067,63902,Sacramento,California
06069,81977,San Benito,California
06071,60164,San Bernardino,California
