state,county,state_fips,fips,total_pop,white,black,asian,hispanic
Alabama,Autauga,01,01001,55869,41215,11098,646,1671
Alabama,Baldwin,01,01003,223234,185747,19215,2346,10534
Alabama,Barbour,01,01005,24686,11235,11807,116,1117
Alabama,Bibb,01,01007,22394,16663,4719,46,623
Alabama,Blount,01,01009,57826,50176,872,163,5582
Alabama,Bullock,01,01011,10101,2121,6978,16,864
Alabama,Butler,01,01013,19448,9937,8680,270,289
Alabama,Calhoun,01,01015,113605,81464,23855,987,4614
Alabama,Chambers,01,01017,33254,18331,13231,356,871
Alabama,Cherokee,01,01019,26196,24014,1069,98,449
Alabama,Chilton,01,01021,44428,35481,4412,195,3636
Alabama,Choctaw,01,01023,12589,7091,5234,22,128
Alabama,Clarke,01,01025,23622,12309,10569,99,310
Alabama,Clay,01,01027,13235,10634,1786,33,435
Alabama,Cleburne,01,01029,14910,13839,410,31,387
Alabama,Coffee,01,01031,52342,36338,8930,830,4171
Alabama,Colbert,01,01033,55241,42935,8839,367,1789
Alabama,Conecuh,01,01035,12067,6077,5485,27,277
Alabama,Coosa,01,01037,10663,6945,3253,16,280
Alabama,Covington,01,01039,37049,30774,4581,175,687
Alabama,Crenshaw,01,01041,13772,9677,3250,152,333
Alabama,Cullman,01,01043,83768,76796,1045,585,3752
Alabama,Dale,01,01045,49172,33425,10058,697,3450
Alabama,Dallas,01,01047,37196,10032,26158,159,429
Alabama,DeKalb,01,01049,71513,57103,1057,258,10774
Alabama,Elmore,01,01051,81209,59351,16978,589,2563
Alabama,Escambia,01,01053,36633,22094,11353,111,952
Alabama,Etowah,01,01055,102268,79207,15876,791,4230
Alabama,Fayette,01,01057,16302,13703,1875,72,335
Alabama,Franklin,01,01059,31362,23893,1184,81,5606
Alabama,Geneva,01,01061,26271,21951,2402,78,1095
Alabama,Greene,01,01063,8111,1423,6443,22,139
Alabama,Hale,01,01065,14651,5819,8450,44,209
Alabama,Henry,01,01067,17205,11964,4374,64,463
Alabama,Houston,01,01069,105882,69963,28685,1095,3631
Alabama,Jackson,01,01071,51626,45971,1725,246,1584
Alabama,Jefferson,01,01073,658573,326091,284126,11686,26873
Alabama,Lamar,01,01075,13805,11874,1399,14,263
Alabama,Lauderdale,01,01077,92729,78425,9143,702,2652
Alabama,Lawrence,01,01079,32924,25122,3543,70,779
Alabama,Lee,01,01081,164542,111364,37261,6782,6091
Alabama,Limestone,01,01083,98915,75002,13409,1619,6149
Alabama,Lowndes,01,01085,9726,2442,6980,35,181
Alabama,Macon,01,01087,18068,2974,14396,102,343
Alabama,Madison,01,01089,372909,240537,90968,9869,19352
Alabama,Marengo,01,01091,18863,8380,9678,53,528
Alabama,Marion,01,01093,29709,27252,1120,88,800
Alabama,Marshall,01,01095,96774,77249,2490,620,14272
Alabama,Mobile,01,01097,413210,233547,148488,8494,12443
Alabama,Monroe,01,01099,20733,11218,8445,93,347
Alabama,Montgomery,01,01101,226486,74059,133283,7353,8344
Alabama,Morgan,01,01103,119679,89827,15196,763,10466
Alabama,Perry,01,01105,8923,2601,6029,56,144
Alabama,Pickens,01,01107,19930,10682,7885,60,1044
Alabama,Pike,01,01109,33114,18478,12406,601,802
Alabama,Randolph,01,01111,22722,17131,4340,95,682
Alabama,Russell,01,01113,57961,26562,25838,470,3378
Alabama,St. Clair,01,01115,89512,76431,8534,782,2185
Alabama,Shelby,01,01117,217702,168091,28607,4852,12635
Alabama,Sumter,01,01119,12427,3098,8824,238,149
Alabama,Talladega,01,01121,79978,49800,26183,540,1913
Alabama,Tallapoosa,01,01123,40367,27733,10756,222,1021
Alabama,Tuscaloosa,01,01125,209355,127285,67359,3304,8308
Alabama,Walker,01,01127,63521,56437,3848,322,1681
Alabama,Washington,01,01129,16326,10606,3777,184,264
Alabama,Wilcox,01,01131,10373,2786,7314,21,149
Alabama,Winston,01,01133,23629,22046,214,73,781
Alaska,Aleutians East Borough,02,02013,3337,302,302,1427,493
Alaska,Aleutians West Census Area,02,02016,5634,1332,367,2174,787
Alaska,Anchorage,02,02020,288000,164464,15359,28106,26992
Alaska,Bethel Census Area,02,02050,18386,1763,174,179,503
Alaska,Bristol Bay Borough,02,02060,836,331,5,15,62
Alaska,Denali Borough,02,02068,2097,1667,41,113,80
Alaska,Dillingham Census Area,02,02070,4916,721,40,43,182
Alaska,Fairbanks North Star Borough,02,02090,96849,67064,4638,3166,7938
Alaska,Haines Borough,02,02100,2530,1950,14,21,91
Alaska,Hoonah-Angoon Census Area,02,02105,2148,1002,47,21,128
Alaska,Juneau City and Borough,02,02110,31974,20481,398,2155,2236
Alaska,Kenai Peninsula Borough,02,02122,58708,46980,410,1053,2506
Alaska,Ketchikan Gateway Borough,02,02130,13901,8877,132,1120,775
Alaska,Kodiak Island Borough,02,02150,12998,6383,142,2776,1123
Alaska,Kusilvak Census Area,02,02158,8314,281,32,35,249
Alaska,Lake and Peninsula Borough,02,02164,1592,355,20,49,55
Alaska,Matanuska-Susitna Borough,02,02170,108317,85160,1303,1802,5613
Alaska,Nome Census Area,02,02180,10004,1487,79,139,288
Alaska,North Slope Borough,02,02185,9832,3043,150,525,426
Alaska,Northwest Arctic Borough,02,02188,7621,812,99,76,281
Alaska,Petersburg Borough,02,02195,3266,2317,53,120,188
Alaska,Prince of Wales-Hyder Census Area,02,02198,6203,2788,35,77,241
Alaska,Sitka City and Borough,02,02220,8493,5236,74,621,629
Alaska,Skagway,02,02230,1183,956,10,28,79
Alaska,Southeast Fairbanks Census Area,02,02240,6893,4992,122,168,482
Alaska,Valdez-Cordova Census Area,02,02261,9202,6327,75,456,518
Alaska,Wrangell City and Borough,02,02275,2502,1666,15,78,76
Alaska,Yakutat City and Borough,02,02282,579,182,12,35,27
Alaska,Yukon-Koyukuk Census Area,02,02290,5230,1159,42,28,164
Arizona,Apache,04,04001,71887,12935,356,303,4736
Arizona,Cochise,04,04003,125922,68968,4847,2558,44988
Arizona,Coconino,04,04005,143476,77608,1855,2777,20542
Arizona,Gila,04,04007,54018,33293,321,436,10216
Arizona,Graham,04,04009,38837,19803,590,237,12879
Arizona,Greenlee,04,04011,9498,4320,162,65,4526
Arizona,La Paz,04,04012,21108,11928,185,130,5982
Arizona,Maricopa,04,04013,4485414,2446089,250899,194895,1408855
Arizona,Mohave,04,04015,212181,162835,2352,2379,35919
Arizona,Navajo,04,04017,110924,46190,880,617,12742
Arizona,Pima,04,04019,1047279,536236,35794,31889,395446
Arizona,Pinal,04,04021,462789,259589,21645,7607,142276
Arizona,Santa Cruz,04,04023,46498,6966,203,265,38711
Arizona,Yavapai,04,04025,235099,188477,1713,2622,34641
Arizona,Yuma,04,04027,213787,64453,3975,2484,138131
Arkansas,Arkansas,05,05001,17486,12075,4315,142,602
Arkansas,Ashley,05,05003,19657,13456,4766,43,1119
Arkansas,Baxter,05,05005,41932,39544,173,196,1102
Arkansas,Benton,05,05007,279141,202658,5068,11290,47630
Arkansas,Boone,05,05009,37432,35078,157,215,988
Arkansas,Bradley,05,05011,10763,5928,2905,28,1716
Arkansas,Calhoun,05,05013,5189,3741,1093,12,214
Arkansas,Carroll,05,05015,28380,22245,162,534,4306
Arkansas,Chicot,05,05017,10118,3892,5436,57,600
Arkansas,Clark,05,05019,22320,15247,5413,145,1075
Arkansas,Clay,05,05021,14551,13809,120,33,320
Arkansas,Cleburne,05,05023,24919,23545,101,124,611
Arkansas,Cleveland,05,05025,7956,6704,907,12,197
Arkansas,Columbia,05,05027,23457,13967,8231,205,659
Arkansas,Conway,05,05029,20846,16970,2350,77,836
Arkansas,Craighead,05,05031,110332,82589,18267,1374,5793
Arkansas,Crawford,05,05033,63257,52887,960,931,5131
